10470329-eufin|2011~Import,202.479
15730820-eugbr|2010~Import,452.934
15730820-eunld|2010~Export,10.9852
15740319-aschn|2012~Import,17908600.0
15740319-eunld|2012~Export,12.6801
15750220-eufin|2011~Import,32.3979
15760410-afmoz|2012~Import,26100900.0
15760410-eunld|2012~Export,8.87169
16840120-eugbr|2010~Import,419.88
16841122-aftza|2011~Import,930.351
16841191-aschn|2010~Import,8.70962
16841381-asare|2010~Import,32.7778
16841950-sabol|2013~Import,160.427
16843049-napan|2012~Import,9438060.0
16850230-asisr|2013~Import,303.687
16851782-eudeu|2011~Import,-1.0
16851782-eugbr|2011~Import,-1.0
16851782-euita|2011~Import,-1.0
16854129-aschn|2013~Import,23.4279
17890120-eupol|2012~Import,67.4593
17890190-afcog|2013~Import,25.4865
17890190-aftun|2010~Import,9836310.0
17890190-euswe|2013~Import,18.6092
17890391-eugib|2010~Import,373.027
17890399-nacym|2011~Import,30.4172
17890510-afzaf|2010~Import,274.805
17890510-aspak|2010~Import,24.8195
17890520-afnga|2013~Import,8474.57
17890590-asind|2012~Import,21822.0
18901020-askor|2010~Import,-1.0
18901020-asxxb|2011~Import,-1.0
4240399-eufra|2013~Import,26.0416
5270740-eudeu|2011~Import,12.8899
5270799-sabra|2010~Import,169.435
5271129-eudeu|2010~Import,201.955
5271129-eunld|2010~Export,33.2621
6290260-eunld|2011~Export,14.3102
6291890-euirl|2013~Import,191.3
7400122-eublx|2011~Import,42.3645
7400129-eublx|2010~Import,137.92
