10470720-aschn|2011~Import,3.64548
11520523-eunld|2013~Export,5.31734
14710813-euita|2012~Import,11.546
14711319-euche|2011~Import,14.6643
14711319-eugbr|2012~Import,2.55231
14711319-eunld|2011~Export,2.70421
15720292-nausa|2011~Import,9.27724
15720711-eunld|2011~Export,2.84802
15720712-astur|2011~Import,3.28003
15720712-eugbr|2011~Import,3.49652
15720890-eublx|2011~Import,3.25188
15722610-eudeu|2011~Import,3.05644
15740311-aschn|2011~Import,2.72367
15740319-eunld|2012~Export,12.6801
15740819-eudeu|2011~Import,3.25809
15740819-eunld|2011~Export,2.72166
15750120-eunld|2011~Export,3.50943
15750400-eublx|2013~Import,7.46606
15750400-eunld|2013~Export,4.88937
15760110-afmoz|2011~Import,4.61815
15760110-afmoz|2013~Import,-1.0
15760310-eunld|2011~Export,21.1973
15790120-euita|2013~Import,7.56419
15800300-eugbr|2011~Import,5.43624
15810890-eudeu|2011~Import,3.15772
16843999-euswe|2011~Import,2.72088
16847981-eurus|2013~Import,2.91734
16847989-askor|2010~Import,2.79694
16847989-askor|2011~Import,2.59656
16847989-asxxb|2010~Import,3.62339
16847989-eunld|2011~Export,2.88738
16847989-nausa|2011~Import,18.0811
16852190-euche|2010~Import,5.90403
16852530-eublx|2012~Import,-1.0
16852530-eublx|2013~Import,-1.0
16852530-eudeu|2012~Import,-1.0
16852530-eudeu|2013~Import,-1.0
16852530-eugbr|2012~Import,-1.0
16852530-eugbr|2013~Import,-1.0
16852530-euita|2012~Import,-3.0
16852530-euita|2013~Import,-3.0
16854129-euswe|2010~Import,2.51412
16854150-euesp|2010~Import,3.51562
16854511-euisl|2013~Import,-1.0
17860210-eunld|2011~Export,21.6993
17860610-eunld|2013~Export,50.0008
17860900-nacri|2013~Import,7.70838
17880230-sachl|2010~Import,2.89126
17880240-sacol|2010~Import,6.32274
17890520-eunld|2013~Export,3.41143
17890590-afcog|2010~Import,3.1652
17890600-afmar|2010~Import,-1.0
17890600-afmar|2012~Import,5.68718
17890600-euprt|2013~Import,-1.0
18900729-euesp|2011~Import,3.5261
18901020-aschn|2010~Import,-1.0
18901020-aschn|2011~Import,-1.0
18901020-asjpn|2010~Import,-1.0
18901020-asjpn|2011~Import,-1.0
18901020-askor|2010~Import,-1.0
18901020-asxxb|2011~Import,-1.0
18901020-asxxb|2013~Import,3.45709
2080450-eudeu|2011~Import,2.52637
2080710-eudeu|2012~Import,5.01128
2100300-assau|2013~Import,3.93106
21970600-nausa|2012~Import,10.2481
3150100-eufin|2012~Import,3.07672
3150600-eufin|2013~Import,3.85498
3151110-eublx|2013~Import,2.71642
3151311-eudeu|2011~Import,2.73551
3151410-eudeu|2011~Import,2.99896
3151410-eunor|2011~Import,9.29855
4180100-afnga|2010~Import,-1.0
4180100-afnga|2012~Import,-1.0
4180100-eunld|2011~Export,4.25682
4230250-eunld|2013~Export,3.96397
4240391-afdza|2010~Import,-1.0
5260800-eublx|2013~Import,2.5915
5270400-eublx|2012~Import,6.84662
5270720-eublx|2013~Import,5.15672
5270720-eunld|2013~Export,3.44661
5270810-eudeu|2013~Import,7.47036
5270820-eudeu|2013~Import,25.1569
5270820-eunld|2013~Export,9.85367
5271111-euita|2013~Import,17.3326
5271113-afmar|2010~Import,2.95836
5271119-nausa|2013~Import,13.13
5271121-eudeu|2010~Import,-1.0
5271121-eudeu|2011~Import,-1.0
5271121-eudeu|2012~Import,-1.0
5271121-eudeu|2013~Import,5.68005
5271311-nausa|2013~Import,16.0072
5271312-asare|2013~Import,4.45391
5271490-eugbr|2011~Import,8.06648
6280700-nacub|2011~Import,3.95366
6281000-eudeu|2010~Import,4.95128
6281700-eublx|2010~Import,3.7882
6282200-asqat|2013~Import,4.76562
6282200-eunld|2013~Export,2.87287
6284329-eunld|2011~Export,2.55923
6284329-eurou|2011~Import,4.08807
6290619-eunld|2012~Export,3.52535
6293213-eublx|2013~Import,3.39957
6293213-eudeu|2010~Import,3.61611
6293339-eufra|2013~Import,15.1002
6293340-euirl|2013~Import,3.84241
6293359-eugbr|2013~Import,4.11979
6293359-euita|2013~Import,9.88626
6293359-eunld|2013~Export,2.90654
6293379-asmys|2010~Import,2.62068
6293500-eufra|2011~Import,7.68915
6300290-euirl|2010~Import,4.25585
6380610-euprt|2011~Import,3.04013
8430219-nausa|2011~Import,11.7752
9441010-eudnk|2011~Import,2.50281
